,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CG.Fvb1,context,group
178,Fvb1,8850001,8900000,50000,*,13225,31653,-0.0206511222644122,CG,AK_FK
179,Fvb1,8900001,8950000,50000,*,10031,34761,0.00555335281194747,CG,AK_FK
180,Fvb1,8950001,9000000,50000,*,15082,34077,0.0671897689428708,CG,AK_FK
181,Fvb1,9000001,9050000,50000,*,11064,47979,0.0414551171264201,CG,AK_FK
182,Fvb1,9050001,9100000,50000,*,8171,34762,0.00581411694846379,CG,AK_FK
183,Fvb1,9100001,9150000,50000,*,13908,45994,-0.00213832070397796,CG,AK_FK
184,Fvb1,9150001,9200000,50000,*,26142,40359,0.279390783308555,CG,AK_FK
185,Fvb1,9200001,9250000,50000,*,4708,44156,0.0285913910259306,CG,AK_FK
186,Fvb1,9250001,9300000,50000,*,9568,35110,-0.00969878034091415,CG,AK_FK
187,Fvb1,9300001,9350000,50000,*,16906,25240,-0.0297626089341118,CG,AK_FK
188,Fvb1,9350001,9400000,50000,*,27002,47364,0.0275984811494611,CG,AK_FK
189,Fvb1,9400001,9450000,50000,*,12856,45044,0.0652110143508013,CG,AK_FK
190,Fvb1,9450001,9500000,50000,*,12984,41751,0.0289179473434631,CG,AK_FK
191,Fvb1,9500001,9550000,50000,*,19463,46458,0.0578565440694968,CG,AK_FK
192,Fvb1,9550001,9600000,50000,*,23220,37356,0.0901481237650545,CG,AK_FK
193,Fvb1,9600001,9650000,50000,*,24081,39753,0.0750690806175043,CG,AK_FK
194,Fvb1,9650001,9700000,50000,*,9130,29671,0.0859202858456959,CG,AK_FK
195,Fvb1,9700001,9750000,50000,*,11447,43119,0.0272620604758847,CG,AK_FK
196,Fvb1,9750001,9800000,50000,*,6873,41809,0.01891610885548,CG,AK_FK
197,Fvb1,9800001,9850000,50000,*,8227,44606,0.0521351626283226,CG,AK_FK
198,Fvb1,9850001,9900000,50000,*,13205,34109,0.0446483898799189,CG,AK_FK
