,seqnames,start,end,width,strand,sumReadsM,sumReadsN,Propdiff.CHG.Fvb7,context,group
182,Fvb7,9050001,9100000,50000,*,2380,27149,-0.0189078083571521,CHG,AL_FL
183,Fvb7,9100001,9150000,50000,*,5489,21471,0.0637986409954431,CHG,AL_FL
184,Fvb7,9150001,9200000,50000,*,4113,15273,0.124795130560839,CHG,AL_FL
185,Fvb7,9200001,9250000,50000,*,7336,15463,0.00541283239266982,CHG,AL_FL
186,Fvb7,9250001,9300000,50000,*,3107,16021,0.0754657423027936,CHG,AL_FL
187,Fvb7,9300001,9350000,50000,*,3563,21137,-0.0126279390777307,CHG,AL_FL
188,Fvb7,9350001,9400000,50000,*,1462,25431,0.0147850288494172,CHG,AL_FL
189,Fvb7,9400001,9450000,50000,*,2878,26765,-0.0184398691853251,CHG,AL_FL
190,Fvb7,9450001,9500000,50000,*,3658,25706,0.0457995988226149,CHG,AL_FL
191,Fvb7,9500001,9550000,50000,*,4016,25747,0.0675112522921489,CHG,AL_FL
192,Fvb7,9550001,9600000,50000,*,4173,24412,0.116344229482571,CHG,AL_FL
193,Fvb7,9600001,9650000,50000,*,3321,24695,0.0784176360134403,CHG,AL_FL
194,Fvb7,9650001,9700000,50000,*,5354,21969,0.0274125685421836,CHG,AL_FL
195,Fvb7,9700001,9750000,50000,*,5564,13465,0.0444763136934269,CHG,AL_FL
196,Fvb7,9750001,9800000,50000,*,4163,17733,0.0558918286911216,CHG,AL_FL
197,Fvb7,9800001,9850000,50000,*,1532,18301,-0.169764618022889,CHG,AL_FL
198,Fvb7,9850001,9900000,50000,*,1305,30090,0.0018539690501789,CHG,AL_FL
199,Fvb7,9900001,9950000,50000,*,1577,30399,-0.0123452129965435,CHG,AL_FL
200,Fvb7,9950001,10000000,50000,*,4297,18312,0.0193165949411114,CHG,AL_FL
201,Fvb7,10000001,10050000,50000,*,4825,21277,0.0247710038080437,CHG,AL_FL
202,Fvb7,10050001,10100000,50000,*,2882,19940,0.0437379595328405,CHG,AL_FL
203,Fvb7,10100001,10150000,50000,*,2165,26686,0.0136569879635457,CHG,AL_FL
204,Fvb7,10150001,10200000,50000,*,2104,14799,-0.0661848294411068,CHG,AL_FL
205,Fvb7,10200001,10250000,50000,*,6095,19863,-0.0560172625522806,CHG,AL_FL
206,Fvb7,10250001,10300000,50000,*,5427,17269,0.0352691159440913,CHG,AL_FL
207,Fvb7,10300001,10350000,50000,*,6291,27545,0.0427067362321139,CHG,AL_FL
208,Fvb7,10350001,10400000,50000,*,1536,27857,-0.0116304704239531,CHG,AL_FL
209,Fvb7,10400001,10450000,50000,*,1754,23895,0.0106315314312583,CHG,AL_FL
210,Fvb7,10450001,10500000,50000,*,1237,23358,0.0207741007410208,CHG,AL_FL
211,Fvb7,10500001,10550000,50000,*,5120,22777,-0.0187381054242631,CHG,AL_FL
212,Fvb7,10550001,10600000,50000,*,2023,27669,-0.070010309864141,CHG,AL_FL
213,Fvb7,10600001,10650000,50000,*,2094,26352,0.0273418367585842,CHG,AL_FL
214,Fvb7,10650001,10700000,50000,*,1790,17999,0.0226244575746548,CHG,AL_FL
215,Fvb7,10700001,10750000,50000,*,3466,21214,0.0916976819169733,CHG,AL_FL
