Name;NK0HR1;NK0HR2;NK0HR3;NK42DR1;NK42DR2;NK42DR3;NL0HR1;NL0HR2;NL0HR3;NL42DR1;NL42DR2;NL42DR3
FvH4_4g08130;0;0;0;1;0;0;0;0;0;0;0;1
FvH4_5g36800;1028;947;927;864;690;906;782;733;723;811;540;1024
FvH4_4g11780;150;113;174;164;126;173;871;806;715;667;1053;1141
FvH4_2g15640;376;406;358;353;253;336;357;338;290;216;284;297
FvH4_5g00881;0;0;0;2;2;1;2;0;0;2;0;2
FvH4_6g41260;520;467;405;184;60;192;257;43;56;172;16;77
FvH4_5g09210;153;136;155;86;47;97;87;26;24;78;19;69
FvH4_5g24830;0;0;0;0;0;0;0;3;0;0;0;0
FvH4_5g24831;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g02470;1727;1552;1578;1155;1039;1443;423;526;490;280;409;396
FvH4_4g33151;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g26420;1398;1277;1250;802;548;822;918;692;608;543;443;719
FvH4_4g33150;12;8;8;10;4;3;2;4;2;2;2;2
FvH4_5g00880;427;344;328;553;343;480;1430;1045;1070;2364;2141;2770
FvH4_6g41261;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g14400;159;150;194;274;289;366;206;88;72;155;17;139
FvH4_3g22570;0;0;1;0;0;1;0;2;0;0;0;0
FvH4_5g36881;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g03600;7;12;14;8;10;9;6;3;5;29;2;23
FvH4_5g36880;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g03603;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g22571;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g03601;7;3;3;8;8;14;0;2;0;0;1;2
FvH4_2g03602;0;0;0;0;0;0;0;1;0;0;0;0
FvH4_4g21170;1059;1196;1014;656;504;756;215;55;67;436;39;304
FvH4_4g35740;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g34560;173;174;172;112;141;143;299;162;152;165;76;152
FvH4_4g35743;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g35741;13;22;18;38;21;31;5;7;15;25;17;48
FvH4_4g35742;0;0;1;0;0;0;4;7;3;2;1;2
FvH4_5g22240;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g02420;748;727;594;724;656;681;780;646;598;682;791;890
FvH4_7g30390;41;32;27;46;19;39;22;14;16;34;3;16
FvH4_5g09270;3;0;1;0;0;0;0;0;0;0;0;0
FvH4_5g36870;0;3;0;2;0;2;5;1;1;0;0;1
FvH4_4g08191;237;246;231;438;464;509;241;221;204;486;248;531
FvH4_5g10260;0;0;0;0;0;0;0;0;0;0;0;1
FvH4_4g08190;280;276;296;610;569;767;242;240;224;632;485;700
FvH4_5g34210;47;45;47;28;43;52;24;28;15;20;3;23
FvH4_4g08193;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g21160;0;0;0;0;0;0;0;0;0;1;0;0
FvH4_5g34211;0;0;0;1;0;0;0;0;0;0;0;0
FvH4_4g08192;15;26;26;43;51;43;32;31;23;34;17;50
FvH4_4g08194;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g02410;56;51;59;32;41;64;37;28;25;28;21;31
FvH4_1g02411;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g02412;0;0;1;0;0;0;0;0;0;0;0;0
FvH4_3g34551;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g24890;205;232;179;108;110;130;87;62;58;59;33;53
FvH4_3g34550;142;119;126;176;138;209;38;52;35;101;68;109
FvH4_5g22230;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g26400;841;814;829;1008;813;1078;405;347;331;436;377;549
FvH4_3g22590;360;305;232;268;261;297;167;124;143;124;195;157
FvH4_4g21151;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g53290;120;86;72;174;119;173;1777;1174;1133;2177;2427;2753
FvH4_5g10230;330;356;368;452;370;386;291;259;197;228;205;256
FvH4_4g08180;3326;2792;2885;2332;1479;2273;1863;1556;1391;1179;1232;1613
FvH4_6g53291;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g36860;1;9;2;0;1;1;0;0;0;1;0;0
FvH4_6g53292;311;275;260;199;176;234;17;30;17;7;10;8
FvH4_5g34200;2;0;3;1;0;4;0;0;0;0;0;1
FvH4_1g14420;415;361;341;342;353;369;180;182;203;143;107;156
FvH4_4g21150;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g33100;2;2;1;3;1;1;1;1;1;1;0;2
FvH4_3g34581;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g34580;735;595;521;722;570;720;590;585;510;330;346;554
