Name;AK0HR1;AK0HR2;AK0HR3;AK42DR1;AK42DR2;AL0HR1;AL0HR2;AL0HR3;AL42DR1;AL42DR2;AL42DR3
FvH4_5g02950;1;0;1;0;0;3;4;2;1;0;0
FvH4_3g36420;205;175;148;30;43;118;79;94;38;27;47
FvH4_3g36421;42;39;37;19;40;16;14;8;31;14;23
FvH4_5g26920;624;590;592;494;543;908;628;664;1186;774;816
FvH4_3g36422;35;22;27;71;111;16;7;8;50;60;76
FvH4_3g24440;100;106;80;97;112;57;40;48;83;69;87
FvH4_4g03830;0;0;0;0;0;0;1;0;0;0;0
FvH4_5g26900;263;193;163;112;136;109;120;144;84;36;107
FvH4_1g12370;235;261;235;231;232;219;184;230;227;237;217
FvH4_2g35582;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g35581;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g14940;557;459;473;384;324;412;283;326;500;436;332
FvH4_3g24442;26;22;28;24;34;6;8;12;9;4;5
FvH4_3g24441;21;18;14;27;23;3;4;0;8;5;10
FvH4_2g35580;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g24443;156;158;109;149;183;91;84;68;124;59;117
FvH4_3g12460;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g15800;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g12461;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g15801;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g24380;80;68;58;154;56;35;9;2;348;309;44
FvH4_5g02960;554;495;497;353;575;3293;2368;2536;2037;2016;1213
FvH4_1g00390;7;65;25;4;0;4;9;4;1;0;1
FvH4_5g00300;1440;1149;1267;114;111;1784;1719;1898;498;277;837
FvH4_5g26910;2619;2456;2599;1462;2009;1636;1166;1292;1745;1797;1637
FvH4_3g36410;1476;1031;1255;56;137;195;299;268;60;40;80
FvH4_4g03800;380;359;377;601;590;354;238;222;451;358;411
FvH4_5g02920;3;0;2;2;1;1;0;2;2;2;1
FvH4_3g00445;0;2;0;0;0;0;0;0;0;0;0
FvH4_3g00444;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g00443;1703;1570;1649;2368;1816;1799;1300;1234;1162;1012;919
FvH4_3g00442;33;16;32;68;77;160;105;117;89;72;104
FvH4_3g00441;100;69;95;104;100;159;157;176;43;27;24
FvH4_3g00440;17;4;12;30;24;50;28;44;60;38;26
FvH4_3g36440;176;161;156;505;775;116;71;60;249;231;324
FvH4_3g12470;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g14900;27;26;20;5;12;14;16;22;20;11;27
FvH4_1g24350;224;218;215;236;397;254;237;198;208;341;211
FvH4_5g02930;395;406;400;389;337;265;258;264;404;308;494
FvH4_3g24460;0;3;0;2;1;12;3;0;7;4;9
FvH4_4g03810;38;28;28;12;11;12;27;10;14;4;9
FvH4_1g12390;16;19;15;23;35;3;8;4;6;3;7
FvH4_1g12391;431;416;404;302;479;278;157;188;252;213;279
FvH4_5g14920;215;192;170;177;143;114;84;114;127;134;136
FvH4_3g00430;590;538;539;659;537;447;344;426;269;287;244
FvH4_3g12480;601;611;556;580;714;562;476;562;558;488;585
FvH4_5g14910;0;1;0;0;0;0;0;0;0;0;0
FvH4_1g24361;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g24360;397;403;315;86;231;19965;13362;14906;2879;1884;3166
FvH4_5g02940;3;2;1;4;2;3672;2644;2674;1387;1152;1023
FvH4_4g03801;1;1;0;3;13;13;8;8;37;55;75
FvH4_4g01200;2534;2218;2474;260;311;1222;1217;1218;141;148;381
FvH4_4g03860;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g27830;1;1;1;0;0;0;0;0;0;0;0
FvH4_5g38940;1699;1507;1542;1949;2391;1567;1172;1090;2526;2008;2102
FvH4_2g11580;487;518;489;472;817;290;178;164;373;376;454
FvH4_2g35550;0;0;1;0;3;1;0;0;0;0;0
FvH4_1g12341;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g38943;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g14970;41;63;37;42;45;651;606;724;573;436;940
FvH4_5g38941;0;0;1;0;0;0;0;0;0;0;0
FvH4_1g12340;5;1;5;1;4;6;3;0;5;7;9
FvH4_5g12310;2;2;3;0;0;4;1;2;0;0;0
FvH4_5g38942;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g15850;2;2;2;1;0;52;44;49;48;31;55
FvH4_1g26990;4;8;5;0;3;2;0;0;3;2;4
FvH4_5g26960;6;4;8;6;7;1;1;4;18;18;9
FvH4_2g23570;64;45;45;59;50;13469;10037;10754;3755;2756;3175
FvH4_1g24330;43;49;56;72;190;2514;1846;2166;1518;1386;1698
FvH4_5g02990;485;410;414;269;162;99;159;116;106;65;204
FvH4_3g12410;3490;2960;3021;1130;1076;1096;854;978;654;498;794
FvH4_1g26991;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g24300;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g00360;698;539;657;954;943;497;319;378;667;816;603
FvH4_5g00330;55;36;50;53;136;1226;737;854;1167;1215;1150
FvH4_5g02991;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g24301;0;1;0;0;0;3;1;2;1;0;0
FvH4_3g00491;99;96;81;74;135;79;55;62;90;65;85
FvH4_3g00490;136;113;149;1;1;4;3;0;0;0;1
FvH4_2g35542;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g01210;92;80;102;68;78;24;24;24;34;30;45
FvH4_2g35541;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g35543;0;0;0;0;0;0;0;0;0;0;0
FvH4_4g03870;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g12320;98;121;121;173;132;7;5;4;16;11;8
FvH4_2g35540;17;18;11;11;11;0;0;2;0;0;0
FvH4_2g11590;225;228;204;240;357;1425;1056;1140;1175;1284;1159
FvH4_1g12330;306;263;207;263;297;76;66;68;264;170;184
FvH4_5g14980;82;80;63;128;98;535;397;431;469;516;283
FvH4_5g14981;86;83;95;124;121;647;475;533;564;643;390
FvH4_5g38930;75;58;49;115;114;23;19;18;79;44;52
FvH4_1g14990;2952;2112;2687;182;220;489;776;816;424;295;765
FvH4_4g15840;172;209;139;228;245;108;96;90;185;138;232
FvH4_2g23560;281;248;248;232;287;127;132;130;396;332;354
FvH4_5g26950;48;56;50;81;95;26;21;26;62;63;97
FvH4_3g12420;0;0;0;0;0;0;0;0;3;0;0
FvH4_1g24340;811;794;804;604;985;315;194;254;437;452;413
FvH4_1g00350;818;715;738;809;949;305;166;180;372;394;279
FvH4_5g00340;1045;987;974;1428;2009;2232;1941;1986;2064;1968;2666
FvH4_3g00481;2;0;2;5;8;13;7;10;16;8;8
FvH4_3g00480;1341;1109;1459;152;250;3;5;2;0;0;0
FvH4_2g35574;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g14600;1644;2045;1857;318;344;3;4;4;0;3;4
FvH4_2g35571;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g14950;157;141;93;1;12;7910;4786;5294;740;593;1587
FvH4_1g12360;400;361;400;274;156;747;544;648;480;344;446
FvH4_2g35570;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g35573;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g35572;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g24410;100;36;106;4;6;0;0;0;0;0;0
FvH4_5g38920;39;26;21;42;31;8;9;10;14;5;27
FvH4_4g15830;4;14;8;3;6;2;1;0;1;0;1
