Name;FK0HR1;FK0HR2;FK0HR3;FK42DR1;FK42DR2;FK42DR3;FL0HR1;FL0HR2;FL0HR3;FL42DR1;FL42DR2;FL42DR3
FvH4_7g04110;474;459;504;474;398;369;1211;1479;1391;1224;1546;1169
FvH4_7g06771;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g38340;36;29;31;197;211;213;119;79;100;1180;1501;860
FvH4_3g23740;0;0;0;0;0;0;0;0;2;0;0;0
FvH4_2g14380;30;37;42;42;28;12;12;15;14;25;39;24
FvH4_7g18760;2207;2241;2632;933;833;685;788;1064;1049;1040;1176;1077
FvH4_1g03710;1;2;2;17;20;10;45;25;22;82;44;62
FvH4_7g16100;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g35730;0;0;1;0;0;0;0;0;0;0;0;0
FvH4_7g31720;94;82;84;69;25;23;1491;1146;1849;688;522;728
FvH4_2g26350;48;48;61;36;34;22;30;39;32;56;120;62
FvH4_7g06780;2;0;0;0;2;0;0;1;1;0;1;0
FvH4_7g04122;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g23752;0;0;2;8;2;2;0;6;0;0;5;1
FvH4_7g04123;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g04120;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g04121;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g38330;199;180;172;129;62;96;352;234;361;201;161;191
FvH4_7g04126;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g23751;1;0;2;0;0;0;0;1;0;0;0;0
FvH4_7g04124;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g23750;118;113;137;32;49;46;23;56;25;9;12;15
FvH4_7g04125;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g14370;2;2;0;0;0;0;884;419;1192;19;33;27
FvH4_5g11700;62;44;68;8;11;21;74;73;114;46;16;41
FvH4_1g03700;0;0;2;0;4;1;0;0;0;1;4;0
FvH4_3g35720;509;449;467;1766;1297;1161;6448;6902;7161;6966;8630;6926
FvH4_7g18750;272;293;272;236;148;164;282;292;363;360;455;344
FvH4_3g11771;185;156;190;263;207;200;46;41;43;44;83;30
FvH4_3g11772;15;15;10;1;4;1;0;0;0;0;0;0
FvH4_7g31710;1134;1094;1169;1061;1009;866;771;942;789;1700;1660;1727
FvH4_3g11770;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_1g15710;435;410;492;257;289;248;299;405;333;168;316;178
FvH4_7g04130;481;448;500;694;566;549;908;1257;1171;2449;2159;2363
FvH4_7g06790;259;252;259;338;312;265;162;120;193;198;184;194
FvH4_7g04131;54;59;55;151;145;92;38;87;57;112;120;96
FvH4_3g23760;136;134;148;136;123;101;130;139;147;214;310;229
FvH4_2g38360;704;631;735;470;363;319;354;573;401;539;972;578
FvH4_3g21100;70;153;13;371;4092;590;4;26;2;0;8;0
FvH4_3g23761;0;0;0;0;0;0;0;0;0;2;1;0
FvH4_1g03730;9;12;4;6;19;5;0;83;3;1;2;0
FvH4_7g18780;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g31740;1212;1002;1054;1683;1636;1386;696;876;788;1429;1444;1429
FvH4_3g35750;425;417;552;167;153;123;655;645;860;400;367;419
FvH4_3g11780;13;11;12;5;11;7;0;2;0;0;0;2
FvH4_3g35751;6;11;9;13;8;14;8;0;3;10;15;12
FvH4_2g26380;0;1;0;0;0;1;0;0;1;0;0;1
FvH4_3g35752;0;1;0;1;2;0;0;0;1;0;0;0
FvH4_1g15700;608;583;670;84;51;46;626;391;856;255;207;206
FvH4_7g04140;2528;2322;2463;3690;3908;3632;1387;1493;1485;1648;2016;1667
FvH4_7g04141;0;0;0;0;1;0;0;0;0;2;3;1
FvH4_3g23771;1;1;2;1;0;3;16;6;5;3;1;2
FvH4_2g38351;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g23770;25;19;17;37;26;18;283;310;361;223;409;223
FvH4_2g14390;1;6;3;0;0;0;53;65;58;3;24;6
FvH4_2g38350;587;516;542;671;500;389;485;468;531;765;583;670
FvH4_3g21110;308;312;335;78;81;69;22;35;59;19;78;24
FvH4_4g22390;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g11790;498;466;501;296;243;206;206;249;224;314;274;243
FvH4_7g18770;4;3;8;4;0;1;2;0;4;0;1;3
FvH4_1g03720;23;33;18;31;21;22;11;58;7;20;28;16
FvH4_7g16111;37;36;45;208;130;103;15;213;20;73;223;104
FvH4_7g31730;0;0;0;0;0;0;0;0;0;0;0;1
FvH4_7g16110;1357;1184;1349;1760;1810;1725;1523;2292;1395;874;1720;803
FvH4_7g16112;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g35740;3;10;6;3;3;2;2;1;10;0;0;1
FvH4_2g28980;26;10;13;1;2;0;165;214;246;33;122;38
FvH4_2g02352;0;1;0;0;0;0;3;0;2;0;0;0
FvH4_7g04151;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g31770;34979;32264;39000;6519;6039;5196;8816;8904;8291;7691;6127;7019
FvH4_2g02353;2;1;1;0;1;0;2;1;2;1;2;1
FvH4_2g02350;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g28120;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g02351;18;13;29;11;0;1;5;7;6;13;7;8
FvH4_7g04150;20;20;29;47;7;14;28;111;12;7;37;4
FvH4_2g38300;11337;10834;12020;4978;5735;5011;2167;2752;2566;2361;4146;2158
FvH4_2g02354;418;432;552;354;256;197;232;215;259;320;235;268
FvH4_5g35710;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g35700;0;0;0;0;0;1;4;157;2;3;14;2
FvH4_2g14340;5;13;10;3;9;8;0;1;0;2;1;0
FvH4_3g08140;457;405;448;389;260;222;235;288;264;211;300;210
FvH4_3g11720;86;81;103;54;50;36;6;8;0;4;8;1
FvH4_7g31760;39;56;49;19;9;13;23;19;34;29;45;21
FvH4_4g34370;358;305;342;486;587;390;106;299;95;317;727;342
FvH4_5g23730;10;13;10;18;15;9;6;2;8;34;46;19
FvH4_5g23710;378;367;423;51;99;100;68;71;103;29;4;15
FvH4_2g28970;12;24;21;0;1;0;102;114;138;36;44;22
FvH4_2g26310;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g04160;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g28110;1010;1003;937;1146;1021;852;447;786;642;924;1021;1124
FvH4_3g23710;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g16990;2257;2101;2191;827;988;833;834;956;958;497;550;458
FvH4_5g08100;0;0;0;0;0;0;5;23;23;3;11;10
FvH4_2g14330;10;3;1;4;1;0;1;15;2;124;35;104
FvH4_3g08130;733;669;739;990;748;654;4688;4395;5712;4667;5003;4609
FvH4_2g14332;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g16991;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g18790;209;229;244;142;102;96;258;297;394;303;239;256
FvH4_2g14331;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g16992;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g16130;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g31750;164;204;183;362;233;202;487;567;722;704;1125;718
FvH4_3g11730;3;0;0;0;0;1;0;0;0;0;0;0
FvH4_4g34380;162;154;162;262;232;222;123;184;176;282;325;254
FvH4_5g23720;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g23700;2048;2065;2201;1006;878;870;275;512;329;37;85;38
FvH4_7g04170;26;31;49;42;20;19;45;178;18;7;54;9
FvH4_2g26340;91;105;81;62;45;38;17;19;43;37;21;19
FvH4_5g23701;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g28140;946;853;909;1321;1044;856;508;1230;564;928;1252;885
FvH4_7g28141;987;933;1030;267;332;265;85;66;97;73;72;53
FvH4_7g28142;659;702;727;422;446;445;126;810;186;513;802;460
FvH4_3g08123;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g23720;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g08122;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g08121;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g38320;359;295;474;239;203;170;355;379;436;3706;5682;3875
FvH4_3g08120;17;25;22;34;21;30;27;124;40;14;30;5
FvH4_3g08124;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g14361;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g16160;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g14360;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_5g11710;548;555;687;30;41;27;37;32;35;66;70;36
FvH4_3g35710;60;86;83;5;16;2;6;4;8;8;2;0
FvH4_3g11740;829;640;880;205;236;239;57;31;62;19;22;18
FvH4_4g34390;2318;2358;2704;902;991;799;3002;2179;3134;1708;1710;1777
FvH4_4g34391;0;0;0;0;0;0;0;0;1;2;0;0
FvH4_2g02381;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g04180;3706;3407;2836;7878;7584;7195;2559;4112;2310;3391;5639;3281
FvH4_2g02380;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_2g28990;2392;2281;2344;2139;1738;1550;852;985;1023;793;848;724
FvH4_2g26330;192;204;239;76;76;52;37;22;42;175;171;138
FvH4_7g28130;21;11;21;2;0;2;35;33;87;25;3;17
FvH4_7g31780;18;6;18;473;260;280;775;1032;951;2148;1813;1949
FvH4_3g23731;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g23730;469;459;538;725;692;630;1017;1117;1096;1050;829;1116
FvH4_2g38310;13;17;17;7;19;4;0;4;0;44;139;40
FvH4_5g11730;104;119;125;82;66;51;47;33;54;85;189;112
FvH4_2g14350;0;0;0;0;0;0;2;0;1;3;4;5
FvH4_5g11720;270;255;229;153;167;123;100;141;138;167;138;175
FvH4_7g16150;173;141;175;217;189;139;362;830;346;347;1044;449
FvH4_3g11751;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g35700;2;3;3;0;0;0;4;18;5;2;9;2
FvH4_3g11750;0;0;0;1;0;0;0;0;0;1;0;0
FvH4_7g06700;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g18700;14;11;13;12;19;9;3;1;2;7;15;8
FvH4_3g11700;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_7g06720;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_3g11710;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g17410;79;69;70;331;146;161;605;1100;761;1433;1893;1710
FvH4_7g06730;0;0;0;0;0;0;0;0;0;0;0;0
FvH4_6g29401;466;406;458;640;351;350;137;214;155;347;247;257
